group,case,path,lsb_one_ratio,lsb_balance,lsb_entropy,chi_square_pair,lsb_flip_rate,residual_mean,residual_std,high_freq_energy,laplacian_variance,edge_density
diffstega_stego,hq_core_content_boar,D:\thesis\experiments\diffstega_outputs_hq\hq_core_content_boar\000000132622_hide_pw_1000.png,0.501392,0.001392,0.999994,1.984046,0.500405,5.328264,8.660694,46.862732,6201.563965,0.145096
diffstega_secret,hq_core_similar_face,D:\thesis\experiments\diffstega_outputs_hq\hq_core_similar_face\00079.png,0.505075,0.005075,0.999926,65.000871,0.459500,4.366682,7.406548,38.014252,4287.309570,0.118366
diffstega_stego,hq_core_similar_face,D:\thesis\experiments\diffstega_outputs_hq\hq_core_similar_face\00079_hide_pw_2000.png,0.501831,0.001831,0.999990,9.356288,0.497955,4.804393,7.796881,40.682755,4493.959961,0.140102
diffstega_secret,hq_core_style_dog,D:\thesis\experiments\diffstega_outputs_hq\hq_core_style_dog\flickr_dog_000054.png,0.496384,0.003616,0.999962,3.244875,0.496774,3.934309,6.577068,36.212326,3853.457275,0.099144
diffstega_stego,hq_core_style_dog,D:\thesis\experiments\diffstega_outputs_hq\hq_core_style_dog\flickr_dog_000054_hide_pw_205572.png,0.500731,0.000731,0.999998,3.674144,0.500006,5.691904,8.522160,48.401558,5417.363770,0.171120
diffstega_secret,hq_param_es_050,D:\thesis\experiments\diffstega_outputs_hq\hq_param_es_050\00079.png,0.505075,0.005075,0.999926,65.000871,0.459500,4.366682,7.406548,38.014252,4287.309570,0.118366
diffstega_stego,hq_param_es_050,D:\thesis\experiments\diffstega_outputs_hq\hq_param_es_050\00079_hide_pw_2000.png,0.501812,0.001812,0.999991,8.301509,0.497019,4.907360,7.855728,41.388885,4537.386719,0.147137
diffstega_secret,hq_param_es_060,D:\thesis\experiments\diffstega_outputs_hq\hq_param_es_060\00079.png,0.505075,0.005075,0.999926,65.000871,0.459500,4.366682,7.406548,38.014252,4287.309570,0.118366
diffstega_stego,hq_param_es_060,D:\thesis\experiments\diffstega_outputs_hq\hq_param_es_060\00079_hide_pw_2000.png,0.501831,0.001831,0.999990,9.356288,0.497955,4.804393,7.796881,40.682755,4493.959961,0.140102
diffstega_secret,hq_param_es_070,D:\thesis\experiments\diffstega_outputs_hq\hq_param_es_070\00079.png,0.505075,0.005075,0.999926,65.000871,0.459500,4.366682,7.406548,38.014252,4287.309570,0.118366
diffstega_stego,hq_param_es_070,D:\thesis\experiments\diffstega_outputs_hq\hq_param_es_070\00079_hide_pw_2000.png,0.500250,0.000250,1.000000,9.429039,0.497907,4.572812,7.448028,38.973961,4155.943359,0.134975
diffstega_secret,hq_param_nf_003,D:\thesis\experiments\diffstega_outputs_hq\hq_param_nf_003\00079.png,0.505075,0.005075,0.999926,65.000871,0.459500,4.366682,7.406548,38.014252,4287.309570,0.118366
diffstega_stego,hq_param_nf_003,D:\thesis\experiments\diffstega_outputs_hq\hq_param_nf_003\00079_hide_pw_2000.png,0.501767,0.001767,0.999991,6.929135,0.496046,4.765560,7.711433,40.412239,4477.830566,0.140953
diffstega_secret,hq_param_nf_005,D:\thesis\experiments\diffstega_outputs_hq\hq_param_nf_005\00079.png,0.505075,0.005075,0.999926,65.000871,0.459500,4.366682,7.406548,38.014252,4287.309570,0.118366
diffstega_stego,hq_param_nf_005,D:\thesis\experiments\diffstega_outputs_hq\hq_param_nf_005\00079_hide_pw_2000.png,0.501831,0.001831,0.999990,9.356288,0.497955,4.804393,7.796881,40.682755,4493.959961,0.140102
diffstega_secret,hq_param_nf_008,D:\thesis\experiments\diffstega_outputs_hq\hq_param_nf_008\00079.png,0.505075,0.005075,0.999926,65.000871,0.459500,4.366682,7.406548,38.014252,4287.309570,0.118366
diffstega_stego,hq_param_nf_008,D:\thesis\experiments\diffstega_outputs_hq\hq_param_nf_008\00079_hide_pw_2000.png,0.502057,0.002057,0.999988,11.769370,0.500827,4.933044,7.686241,41.831886,4432.902832,0.156975
diffstega_secret,hq_prompt_similar,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_similar\00079.png,0.505075,0.005075,0.999926,65.000871,0.459500,4.366682,7.406548,38.014252,4287.309570,0.118366
diffstega_stego,hq_prompt_similar,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_similar\00079_hide_pw_2000.png,0.501831,0.001831,0.999990,9.356288,0.497955,4.804393,7.796881,40.682755,4493.959961,0.140102
diffstega_secret,hq_prompt_style,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_style\00079.png,0.505075,0.005075,0.999926,65.000871,0.459500,4.366682,7.406548,38.014252,4287.309570,0.118366
diffstega_stego,hq_prompt_style,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_style\00079_hide_pw_2000.png,0.501287,0.001287,0.999995,9.048617,0.495899,3.784300,6.333384,33.261192,3087.321045,0.095894
diffstega_secret,hq_prompt_unrelated,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_unrelated\00079.png,0.505075,0.005075,0.999926,65.000871,0.459500,4.366682,7.406548,38.014252,4287.309570,0.118366
diffstega_stego,hq_prompt_unrelated,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_unrelated\00079_hide_pw_2000.png,0.502090,0.002090,0.999987,18.414560,0.499255,3.915238,6.170286,32.558357,2655.752686,0.113785
diffstega_secret,hq_prompt_weak,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_weak\00079.png,0.505075,0.005075,0.999926,65.000871,0.459500,4.366682,7.406548,38.014252,4287.309570,0.118366
diffstega_stego,hq_prompt_weak,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_weak\00079_hide_pw_2000.png,0.503209,0.003209,0.999970,14.979765,0.495056,4.544973,7.206645,37.555702,3630.999268,0.132435
diffstega_secret,hq_ext_pw_boar_4001,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_boar_4001\000000132622.png,0.500301,0.000301,1.000000,2.468794,0.498786,6.138597,10.640421,55.144745,9678.375000,0.152893
diffstega_stego,hq_ext_pw_boar_4001,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_boar_4001\000000132622_hide_pw_4001.png,0.501959,0.001959,0.999989,2.382576,0.499964,7.716845,12.452380,67.479652,12848.731445,0.196186
diffstega_secret,hq_ext_pw_boar_4002,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_boar_4002\000000132622.png,0.500301,0.000301,1.000000,2.468794,0.498786,6.138597,10.640421,55.144745,9678.375000,0.152893
diffstega_stego,hq_ext_pw_boar_4002,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_boar_4002\000000132622_hide_pw_4002.png,0.501573,0.001573,0.999993,1.881747,0.499062,7.152420,11.662187,60.981445,10745.123047,0.189068
diffstega_secret,hq_ext_pw_dog_5001,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_dog_5001\flickr_dog_000054.png,0.496384,0.003616,0.999962,3.244875,0.496774,3.934309,6.577068,36.212326,3853.457275,0.099144
diffstega_stego,hq_ext_pw_dog_5001,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_dog_5001\flickr_dog_000054_hide_pw_5001.png,0.501311,0.001311,0.999995,2.005813,0.499392,4.707035,6.792192,40.381912,3430.344727,0.130894
diffstega_secret,hq_ext_pw_dog_5002,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_dog_5002\flickr_dog_000054.png,0.496384,0.003616,0.999962,3.244875,0.496774,3.934309,6.577068,36.212326,3853.457275,0.099144
diffstega_stego,hq_ext_pw_dog_5002,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_dog_5002\flickr_dog_000054_hide_pw_5002.png,0.500519,0.000519,0.999999,2.805925,0.498821,5.952373,8.452494,48.491379,4787.087891,0.186180
diffstega_secret,hq_ext_pw_face_3001,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_face_3001\00079.png,0.505075,0.005075,0.999926,65.000871,0.459500,4.366682,7.406548,38.014252,4287.309570,0.118366
diffstega_stego,hq_ext_pw_face_3001,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_face_3001\00079_hide_pw_3001.png,0.502781,0.002781,0.999978,8.220357,0.498437,5.070287,8.186917,42.671677,4919.421387,0.147297
diffstega_secret,hq_ext_pw_face_3002,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_face_3002\00079.png,0.505075,0.005075,0.999926,65.000871,0.459500,4.366682,7.406548,38.014252,4287.309570,0.118366
diffstega_stego,hq_ext_pw_face_3002,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_face_3002\00079_hide_pw_3002.png,0.502735,0.002735,0.999978,5.723167,0.498314,4.984689,7.880424,41.739815,4531.699219,0.154015
diffstega_secret,hq_ext_sk_astronaut,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_astronaut\sk_astronaut.png,0.448512,0.051488,0.992337,177.328681,0.447382,4.720493,9.677417,39.997108,7681.415527,0.089352
diffstega_stego,hq_ext_sk_astronaut,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_astronaut\sk_astronaut_hide_pw_6101.png,0.471865,0.028135,0.997715,148.301397,0.449251,5.447268,10.942417,46.588646,9836.592773,0.101646
diffstega_secret,hq_ext_sk_camera,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_camera\sk_camera.png,0.496761,0.003239,0.999970,23.687021,0.476240,4.996689,9.563947,47.058968,8469.627930,0.098228
diffstega_stego,hq_ext_sk_camera,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_camera\sk_camera_hide_pw_6105.png,0.501514,0.001514,0.999993,19.988562,0.503159,3.758630,7.255539,36.913536,5217.772461,0.051727
diffstega_secret,hq_ext_sk_cat,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_cat\sk_cat.png,0.499813,0.000187,1.000000,2.828966,0.492203,2.883986,4.307485,22.171509,1123.583618,0.081684
diffstega_stego,hq_ext_sk_cat,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_cat\sk_cat_hide_pw_6104.png,0.501624,0.001624,0.999992,3.341050,0.498506,2.047632,3.301740,17.150711,768.192749,0.036221
diffstega_secret,hq_ext_sk_coffee,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_coffee\sk_coffee.png,0.499781,0.000219,1.000000,16.134459,0.489887,3.197358,6.848743,25.829666,3118.711914,0.063316
diffstega_stego,hq_ext_sk_coffee,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_coffee\sk_coffee_hide_pw_6102.png,0.492634,0.007366,0.999843,10.274482,0.496646,3.494950,6.705392,28.774918,3181.204102,0.078548
diffstega_secret,hq_ext_sk_horse,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_horse\sk_horse.png,0.627048,0.127048,0.952911,1913.491603,0.032334,2.020201,9.512819,16.468002,7176.216797,0.013153
diffstega_stego,hq_ext_sk_horse,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_horse\sk_horse_hide_pw_6106.png,0.458918,0.041082,0.995125,1140.467335,0.158465,2.238581,9.349451,18.731224,7248.666992,0.018856
diffstega_secret,hq_ext_sk_hubble,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_hubble\sk_hubble.png,0.498828,0.001172,0.999996,44.201249,0.501250,4.608186,9.906673,41.924927,7656.248535,0.053001
diffstega_stego,hq_ext_sk_hubble,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_hubble\sk_hubble_hide_pw_6107.png,0.502883,0.002883,0.999976,43.321114,0.500646,4.233190,9.357894,39.313370,7193.856445,0.062500
diffstega_secret,hq_ext_sk_retina,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_retina\sk_retina.png,0.468826,0.031174,0.997194,392.209496,0.400264,1.663569,3.414129,13.914108,809.407104,0.021217
diffstega_stego,hq_ext_sk_retina,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_retina\sk_retina_hide_pw_6108.png,0.456631,0.043369,0.994566,382.240181,0.420405,1.911351,3.809387,16.378067,1066.712891,0.027824
diffstega_secret,hq_ext_sk_rocket,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_rocket\sk_rocket.png,0.501101,0.001101,0.999997,7.590623,0.346150,1.857810,5.356412,17.097542,2526.607178,0.035011
diffstega_stego,hq_ext_sk_rocket,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_rocket\sk_rocket_hide_pw_6103.png,0.502388,0.002388,0.999984,6.056333,0.481143,1.856500,4.565754,17.341629,1892.885742,0.037350
